Mass,ethyne,ethene,ethane,1butanal
2.0,0.0,0.0,0.0,nan
12.0,2.0,2.0,2.0,2.0000836105193596
13.0,2.0,2.0,2.0,2.000533530985451
14.0,2.0,2.0,2.0,2.0108561448752535
15.0,2.0,2.0,2.0,2.099339755716671
16.0,2.0,2.0,2.0,2.0001432609173317
17.0,2.0,2.0,2.0,2.000386344198534
18.0,0.0,0.0,0.0,2.0118987237880184
19.0,0.0,0.0,0.0,2.000251033478533
20.0,0.0,0.0,0.0,2.000069210386861
21.0,2.0,2.0,2.0,0.0
22.0,2.0,2.0,2.0,0.0
24.0,2.0,2.0,2.0,nan
25.0,2.0,2.0,2.0,nan
26.0,2.0,2.0,2.0,2.0704512989276513
27.0,2.0,2.0,2.0,4.2607985216021325
28.0,2.0,2.0,2.0,2.158462022143822
29.0,2.0,2.0,2.0,3.8315284350087904
30.0,2.0,2.0,2.0,2.0019374844037277
31.0,0.0,0.0,0.0,2.013156109847597
36.0,0.0,0.0,0.0,2.0004817770638876
37.0,0.0,0.0,0.0,2.14259009759557
38.0,0.0,0.0,0.0,2.9375784696943774
39.0,0.0,0.0,0.0,16.35877231640164
40.0,0.0,0.0,0.0,3.593654945605431
41.0,0.0,0.0,0.0,82.01487136427029
42.0,0.0,0.0,0.0,21.372782361084752
43.0,0.0,0.0,0.0,181.03724305562773
44.0,0.0,0.0,0.0,290.57485853515385
45.0,0.0,0.0,0.0,12.793259946603946
46.0,0.0,0.0,0.0,2.67031022493306
48.0,0.0,0.0,0.0,2.1003660684935657
49.0,0.0,0.0,0.0,4.300581941353257
50.0,0.0,0.0,0.0,10.940963717806754
51.0,0.0,0.0,0.0,8.615009940714518
52.0,0.0,0.0,0.0,3.1484816426856366
53.0,0.0,0.0,0.0,35.12460092277037
54.0,0.0,0.0,0.0,37.068687200625256
55.0,0.0,0.0,0.0,55.14628832581597
56.0,0.0,0.0,0.0,8.584331833858295
57.0,0.0,0.0,0.0,609.553894777249
58.0,0.0,0.0,0.0,29.32425918876907
59.0,0.0,0.0,0.0,3.5931291063903634
60.0,0.0,0.0,0.0,33.44506495951569
68.0,0.0,0.0,0.0,7.6324298119806695
69.0,0.0,0.0,0.0,48.308063330902066
70.0,0.0,0.0,0.0,17.649885729038232
71.0,0.0,0.0,0.0,687.7373776064856
72.0,0.0,0.0,0.0,7609.976074774843
73.0,0.0,0.0,0.0,527.721429606803
74.0,0.0,0.0,0.0,36.50763351138082
75.0,0.0,0.0,0.0,13.280165188810042
