Data Point,Time,ethyne,ethene,ethane,1butanal
0,747.187,0.0,0.0,1.0,0.0,SolvedMolecules 
0,747.187,0.0,0.0,1.0,1.0,SolvedMolecules 
0,747.187,0.0,1.0,1.0,1.0,SolvedMolecules 
0,747.187,1.0,1.0,1.0,1.0,SolvedMolecules 
1,751.547,0.0,0.0,1.0,0.0,SolvedMolecules 
1,751.547,0.0,0.0,1.0,1.0,SolvedMolecules 
1,751.547,0.0,1.0,1.0,1.0,SolvedMolecules 
1,751.547,1.0,1.0,1.0,1.0,SolvedMolecules 
2,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
2,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
2,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
2,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
3,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
3,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
3,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
3,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
4,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
4,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
4,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
4,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
5,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
5,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
5,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
5,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
6,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
6,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
6,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
6,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
7,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
7,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
7,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
7,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
8,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
8,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
8,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
8,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
9,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
9,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
9,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
9,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
10,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
10,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
10,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
10,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
11,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
11,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
11,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
11,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
12,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
12,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
12,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
12,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
13,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
13,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
13,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
13,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
14,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
14,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
14,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
14,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
15,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
15,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
15,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
15,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
16,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
16,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
16,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
16,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
17,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
17,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
17,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
17,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
18,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
18,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
18,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
18,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
19,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
19,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
19,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
19,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
20,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
20,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
20,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
20,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
21,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
21,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
21,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
21,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
22,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
22,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
22,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
22,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
23,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
23,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
23,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
23,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
24,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
24,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
24,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
24,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
25,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
25,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
25,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
25,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
26,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
26,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
26,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
26,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
27,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
27,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
27,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
