Source:,NIST,NIST,NIST
Molecules,ethene,ethane,ethyne
Electron Numbers,16,18,14
Molecular Mass,28.05,30.07,26.0373
0,0,0,0
2,0,0,0
12,0,0,70
13,50,40,320
14,90,100,10
15,210,300,0
16,30,440,0
17,0,10,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
24,0,0,500
25,230,50,1912
26,781,350,9999
27,5295,2322,220
28,6236,3323,10
29,9999,9999,0
30,230,2152,0
31,10,2622,0
32,0,50,0
33,0,0,0
34,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,0
57,0,0,0
58,0,0,0
59,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,0,0,0
70,0,0,0
71,0,0,0
72,0,0,0
73,0,0,0
