Source:,NIST_TuningCorrected, NIST_TuningCorrected, NIST_TuningCorrected, NIST_TuningCorrected
Molecules,ethene, ethane, ethyne, 1butanal
Electron Numbers,16, 18, 14, 40
ionizationEfficiencies,1.0857142857142859, 1.1714285714285713, 1.0, 2.1142857142857143
ionizationEfficienciesSources,MadixAnd, MadixAnd, MadixAnd, MadixAnd
Molecular Mass,28.05, 30.07, 26.0373, 72.11
1.200000000000000000e+01,7.267817253214950979e-01,5.814253802571961449e-01,8.962310758758514906e-01,2.136188798348153117e-01
1.300000000000000000e+01,1.328978807278834440e+00,1.476643119198705056e+00,4.162109373956489833e+00,6.510321559739532526e-01
1.400000000000000000e+01,2.848544126574764412e+00,4.069348752249663193e+00,1.194790115458756602e-01,3.189549000573240978e+00
1.500000000000000000e+01,3.460720381581811056e-01,5.075723226319989401e+00,0.000000000000000000e+00,9.154711339325427133e+00
1.600000000000000000e+01,0.000000000000000000e+00,9.189566284724560996e-02,0.000000000000000000e+00,2.701037722216082515e-01
1.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.059277833018914650e-01
1.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.124315225957764675e+00
1.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.144393612237456365e-01
2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.058645767546193078e-02
2.400000000000000000e+01,1.905088651414333034e+00,4.141497068292028239e-01,3.647920142746086114e+00,0.000000000000000000e+00
2.500000000000000000e+01,7.875287537093647927e+00,3.529258179235308823e+00,1.698209389363423227e+01,0.000000000000000000e+00
2.600000000000000000e+01,6.012034052398028905e+01,2.636438728926954411e+01,1.000000000000000000e+02,1.052908097617459049e+01
2.700000000000000000e+01,7.198079814521727826e+01,3.835666969797257764e+01,2.236769316335167179e+00,1.000000000000000000e+02
2.800000000000000000e+01,1.000000000000000000e+02,1.000000000000000000e+02,8.809097075487680450e-02,2.191425516740686419e+01
2.900000000000000000e+01,1.376298116875767974e+00,1.287736325007240090e+01,0.000000000000000000e+00,4.735611062580804997e+01
