Temp,m2,m18,m26,m27,m28,m29,m31,m39,m41,m44,m45,m56,m57,m70
1.768480999999999881e+02,1.579431000000113272e+00,1.816619999999886659e-01,1.664350000000354157e-01,1.312270000000026471e-01,3.863188999999977113e+00,2.512149999999877537e-01,6.146600000001711805e-02,3.597800000000006548e-02,4.886099999998805288e-02,1.173704999999927168e+00,3.412200000001064382e-02,1.442500000000279670e-02,-2.842170943040400743e-14,9.950000000031877789e-04
1.768944999999999936e+02,1.228675524668005892e+00,1.908850988826813477e-01,1.317286382849545134e-01,1.293439893385226469e-01,4.001865947159558345e+00,2.604372091779154630e-01,5.044932446422478733e-02,3.338194118984105785e-02,6.349474714087932625e-02,1.228511223469070046e+00,1.334214045134274329e-02,1.251463720174150751e-02,1.916722538406645526e-02,8.956189892714405687e-03
1.768788000000000125e+02,1.340809714130045904e+00,1.874840470823819771e-01,1.444577201430483626e-01,1.319571079533661262e-01,3.959805631716119656e+00,2.559195941543492836e-01,5.528846244820684319e-02,3.569425527567027245e-02,5.744260138846257746e-02,1.209734821328417809e+00,2.174274578676449465e-02,1.389469359893880096e-02,1.119057754466545873e-02,5.508498311723286633e-03
1.767940999999999860e+02,1.262446117447417748e+00,1.862316955705196619e-01,1.400491657153009051e-01,1.341778121211869568e-01,4.007532428959052595e+00,2.550328902860075075e-01,5.206800984090520501e-02,3.415642111421757221e-02,5.850282900256775775e-02,1.220496050918788544e+00,2.440201799499064350e-02,8.590850069708722003e-03,1.088104438182213585e-02,1.270464256212022747e-02
1.767974000000000103e+02,1.266604182845279425e+00,1.873209580475836411e-01,1.365671289747982797e-01,1.319321880644750422e-01,4.008184499849608784e+00,2.565476249636020611e-01,4.859890547146683559e-02,3.226563701656459671e-02,6.100189443150050295e-02,1.221118726678106725e+00,2.133646265452426860e-02,7.497590273825238683e-03,1.439168821485559135e-02,1.422887749702894666e-02
1.768505000000000109e+02,1.262240853790849826e+00,1.914140512150162010e-01,1.389050792566521864e-01,1.363769763835325222e-01,4.028626963113978832e+00,2.562871186194000117e-01,5.021833616802151568e-02,3.415961573630088566e-02,5.462882080467323931e-02,1.219567082044374473e+00,2.428747583331869464e-02,7.472129432857688158e-03,1.098292238663844955e-02,1.254409282555091210e-02
1.769009000000000071e+02,1.263556115755582354e+00,1.915894607857691057e-01,1.343619457001992146e-01,1.361501847211883387e-01,4.044301752788364013e+00,2.526346152251175425e-01,4.788069682500228907e-02,3.921915779931417489e-02,5.515168957387928117e-02,1.218179326705024934e+00,2.107287981839078839e-02,1.159183107987171724e-02,1.471396974090311005e-02,8.040750318897060822e-03
1.769664999999999964e+02,1.265535080164983839e+00,1.909913991623639618e-01,1.356355135524554001e-01,1.318887206646666144e-01,4.057642843126679111e+00,2.488804031731941535e-01,5.286909508074355557e-02,4.162852771895586557e-02,5.111531125354051852e-02,1.220290237141755441e+00,2.194189809019686521e-02,1.394372528880793993e-02,1.394182999614512752e-02,3.555130087615765433e-03
1.769054999999999893e+02,1.265676008571400502e+00,1.889676730989560127e-01,1.398224977387254597e-01,1.351451610820291194e-01,4.045792844485546880e+00,2.522658809668608670e-01,5.177229382365311494e-02,3.719450451615341491e-02,5.273921633369305084e-02,1.215090146919024505e+00,2.149450337190828009e-02,1.233542553947586384e-02,1.259994773936412571e-02,6.469761669662510428e-03
1.768098999999999990e+02,1.259229189796265302e+00,1.854143534292287399e-01,1.459830314473222757e-01,1.387394558972463443e-01,4.038492125282822087e+00,2.530547378094873956e-01,4.906649747183688959e-02,3.113248283855352128e-02,5.508186771656298220e-02,1.194239870339615095e+00,1.856642204874781044e-02,1.514372722973078567e-02,1.230736637658158550e-02,6.457934185980729325e-03
1.768532999999999902e+02,1.271880948272610112e+00,1.861731039823695255e-01,1.430917149143677847e-01,1.366359752852872589e-01,4.046608733834496263e+00,2.523563897114735610e-01,4.973451340534751353e-02,3.414258671506509302e-02,5.509733750837497723e-02,1.202679962968758787e+00,1.940626505184539496e-02,1.450324852127771180e-02,1.291780552725541042e-02,6.072541735880676583e-03
1.769335000000000093e+02,1.335973869464751829e+00,1.880088997491848879e-01,1.447965160308966048e-01,1.344812672188377967e-01,4.083669346458677296e+00,2.574970151084921000e-01,5.248624649881605819e-02,3.901265556951827307e-02,5.674469051680463422e-02,1.222172417387106691e+00,2.744567077964354951e-02,1.047112266861560670e-02,8.243435679492705503e-03,8.113778313346947657e-03
1.768810000000000002e+02,1.298593501300388198e+00,1.871995646221451537e-01,1.456837296067607923e-01,1.370364241236252667e-01,4.072468424869390979e+00,2.563747692487168273e-01,5.255953733644957993e-02,3.689700558571984423e-02,5.530152079661831976e-02,1.218002542559638357e+00,2.635616869808110607e-02,1.168808982060531854e-02,8.952315346506090066e-03,8.067044689834313581e-03
1.768104999999999905e+02,1.269432081561930659e+00,1.940398640482641213e-01,1.440333985781077075e-01,1.405697274418997722e-01,4.077136061970825232e+00,2.648531217373921720e-01,5.439655728192605011e-02,3.425932559747479900e-02,5.484076902969725609e-02,1.228192870400075520e+00,3.016984364463226598e-02,8.836995433563643587e-03,7.545563974796998252e-03,1.223366789277413602e-02
1.768206999999999880e+02,1.291277763885517516e+00,1.919783965802039916e-01,1.456183128930703674e-01,1.398219799078646020e-01,4.073747011756136516e+00,2.567156965503585297e-01,5.424587210747544574e-02,3.673591384023211504e-02,5.427592898869537663e-02,1.219894914437574585e+00,3.090199205459498444e-02,1.161951030618268987e-02,7.240553088832868411e-03,1.087672097476399813e-02
1.767428999999999917e+02,1.286814762751134822e+00,1.906454258114358424e-01,1.449751406491479599e-01,1.522730525502282717e-01,4.087745722565685469e+00,2.259886159196753397e-01,4.738753245749816045e-02,6.223938485315727576e-02,6.369617233385049815e-02,1.194487702472983415e+00,1.749950000000666250e-02,2.874529289023541878e-02,1.470352859350576580e-02,2.744707882541774779e-03
1.767738999999999976e+02,1.282321482537440716e+00,1.981197336613949034e-01,1.428426098785909870e-01,1.440152905555949214e-01,4.081840901791544240e+00,2.437119232632305454e-01,4.841662054219497691e-02,4.871814125010764940e-02,6.129105658532907341e-02,1.205717056121974551e+00,2.192320848301143599e-02,1.864322706323751078e-02,1.180642805502074566e-02,9.023335089790585073e-03
1.768874000000000137e+02,1.267440626322684949e+00,1.953098876635949166e-01,1.459688890826349450e-01,1.399553034827700770e-01,4.076779058221751129e+00,2.599244875916255637e-01,5.777947799885474467e-02,3.581968888389752692e-02,6.023916824438479978e-02,1.225631617194608225e+00,2.472988793116037698e-02,1.271430948358265312e-02,7.775284325511222505e-03,1.092016180688037963e-02
1.768942000000000121e+02,1.273214333766699013e+00,1.908514775013774312e-01,1.467355127363370038e-01,1.427237579722828720e-01,4.078852775874260317e+00,2.565195092194301196e-01,6.246425422944668071e-02,3.605103538371423610e-02,5.507118489065376821e-02,1.226008833887959781e+00,2.933672542568999120e-02,1.505717359108071918e-02,5.020632537778624283e-03,8.380920055773399824e-03
1.768326000000000136e+02,1.279001915836413872e+00,1.873118209926829536e-01,1.383874394502271343e-01,1.436708965388415749e-01,4.117416141876958591e+00,2.528266396011904504e-01,5.621898063513874888e-02,3.744842944268000906e-02,5.943801966381911939e-02,1.225764090292139175e+00,2.625593159141659250e-02,1.208430355235368125e-02,9.087590677054002697e-03,1.027958183543309367e-02
1.768189000000000135e+02,1.273879049423737086e+00,1.845420754082809367e-01,1.407881163825912552e-01,1.464983605833154456e-01,4.126626590506660364e+00,2.487421725003571282e-01,5.830098481156298362e-02,4.316184052762395140e-02,5.531442016837218034e-02,1.220876313830707716e+00,2.946286664721409210e-02,1.339470089211403092e-02,7.353152565707565813e-03,8.008104661463733009e-03
1.768508999999999958e+02,1.253543586951280986e+00,1.954255599340655181e-01,1.465490303980914177e-01,1.391335793212142846e-01,4.114530263330536286e+00,2.475787566341765000e-01,5.821244563463068289e-02,4.797883924979373660e-02,5.450892159986864272e-02,1.232833998672103526e+00,3.199639882134164282e-02,1.335517960195176101e-02,7.785015040958853660e-03,3.738513732052695104e-03
1.768443000000000040e+02,1.265817125483238215e+00,1.934549726743046705e-01,1.376445160671266876e-01,1.371737518088345098e-01,4.125333661401825225e+00,2.569583429422479526e-01,5.344577884451240379e-02,3.697478642538953864e-02,6.103350841707566588e-02,1.235881764495684765e+00,2.650570811027108675e-02,5.952708179389532006e-03,1.211808167802530534e-02,1.113349393905416207e-02
1.769281000000000006e+02,1.256443225252676932e+00,1.930042732968164643e-01,1.443022172130898895e-01,1.479778175368267057e-01,4.121093497192175548e+00,2.454493515125690806e-01,5.834875654308291359e-02,4.043430842650774792e-02,5.697305968448862501e-02,1.238612361434584752e+00,2.394014842003855392e-02,1.215101380174488099e-02,9.502848417574760731e-03,7.972644750707136296e-03
1.769267999999999859e+02,1.254091922483123511e+00,1.930497284677414882e-01,1.461219119429557622e-01,1.492641025634355856e-01,4.116417749846608132e+00,2.445368348100309674e-01,5.987788091948864633e-02,4.093637844128394931e-02,5.556648305489986228e-02,1.237709347096334511e+00,2.481378167654302302e-02,1.241533705768205209e-02,8.373293851704488588e-03,8.240042656691315415e-03
1.768663999999999987e+02,1.238932820908019039e+00,1.965124261751149959e-01,1.542187016196905347e-01,1.538246044937352508e-01,4.074098264412583603e+00,2.420349199387281658e-01,6.677067680498538493e-02,4.420904206679310278e-02,4.829170328356724440e-02,1.233507410320136444e+00,3.150987438856844847e-02,1.317379564806087089e-02,1.448962108661078219e-03,1.013408752174704830e-02
1.769139999999999873e+02,1.283803187493276710e+00,1.965462968993030302e-01,1.278451218573479764e-01,1.461128686070032323e-01,4.132764199931614257e+00,2.513980024001618574e-01,4.584594639953820661e-02,3.328946065963833689e-02,6.741950643147731626e-02,1.243148422976453560e+00,1.577681459927759988e-02,1.295879168526337111e-02,1.489593725388260737e-02,8.734276541353835910e-03
1.768830000000000098e+02,1.241308992426809255e+00,1.994100228049546786e-01,1.496292546034538873e-01,1.459142578802357093e-01,4.084680232044149761e+00,2.462147198814079729e-01,6.272084908115971302e-02,4.061654799902214563e-02,5.091193613668565376e-02,1.235289207256043298e+00,3.074545435227094003e-02,1.337588342558859722e-02,3.358362792511115913e-03,1.192278649264011392e-02
1.769233999999999867e+02,1.285235275003088873e+00,1.939325816183874451e-01,1.252438835852416332e-01,1.501062604270728684e-01,4.118616134312198085e+00,2.500529160669699991e-01,4.153334338205638687e-02,4.231878512476683341e-02,7.046015418179507606e-02,1.236433779371608921e+00,1.508419381972458950e-02,2.349036344291022260e-02,1.461381101326253429e-02,2.383956599203429505e-03
1.768343000000000131e+02,1.209478632476574944e+00,2.043611852526581174e-01,1.575707112003925658e-01,1.332023881177661906e-01,4.130305299140239583e+00,2.659116162591672605e-01,6.413739411640051458e-02,3.336799242319443692e-02,4.170026803963367001e-02,1.242766753077795272e+00,3.872711493388436566e-02,3.007766278670942484e-04,-3.834022948367987738e-04,2.161965143164223946e-02
1.768868999999999971e+02,1.247835318045318331e+00,1.961835381735355099e-01,1.358512269358413960e-01,1.450739312297528727e-01,4.119638231153679442e+00,2.551909899314921404e-01,4.823392683845639795e-02,4.261356154153617126e-02,6.255631051518406593e-02,1.242518048481301207e+00,2.154477210241623197e-02,1.502600078709548370e-02,1.081600878976018976e-02,7.235000773967215082e-03
1.768666000000000054e+02,1.234357072882133366e+00,1.953233580590350016e-01,1.396173074290789629e-01,1.437231165522974141e-01,4.109406344504748176e+00,2.541638375833348285e-01,5.179690219562771425e-02,4.061988429708840442e-02,5.720980077559545407e-02,1.249325681732005755e+00,2.445431579874579597e-02,1.068963265111477767e-02,8.905983296631614365e-03,1.000572065392901777e-02
1.768003999999999962e+02,1.286212637845522977e+00,1.945282984988345731e-01,1.271782617362049450e-01,1.507983866260360628e-01,4.165151010203061333e+00,2.420725600601159044e-01,4.628951690962068710e-02,5.074310344735977196e-02,5.844937791470661281e-02,1.250801286714265714e+00,2.611633081905573306e-02,2.648296717719489379e-02,1.321047087396820530e-02,9.710930387356597748e-04
1.768890000000000100e+02,1.253113264181457964e+00,1.979171573988836030e-01,1.397578526036871160e-01,1.480687542975687165e-01,4.114250406759964562e+00,2.500397037280333024e-01,5.520805278874507671e-02,4.009442634197224464e-02,5.761995632889393981e-02,1.252226547988726679e+00,2.738424203993128359e-02,1.490507411745412014e-02,5.024085896348395863e-03,1.142157231130402906e-02
1.770114000000000090e+02,1.222910494456726838e+00,1.837874889193500394e-01,1.364731359048412251e-01,1.636969845764220111e-01,4.090505724051084258e+00,2.411743173610574331e-01,5.496704581115174904e-02,4.391379121100058569e-02,5.795752205656823364e-02,1.236126735144104316e+00,2.839849230928770396e-02,2.200746469160996810e-02,-5.290488647400337641e-04,8.509156439884257850e-03
1.768457999999999970e+02,1.252249743151033545e+00,2.112355621226456037e-01,1.500355424389461234e-01,1.307605889800598220e-01,4.143920296701629979e+00,2.619376618261384237e-01,5.436813225540781946e-02,2.534182975659859949e-02,5.912704059125406530e-02,1.268784491042936224e+00,2.585433078884324942e-02,-1.486524739391370531e-05,6.216628997227857667e-03,2.780658910607058942e-02
1.769231000000000051e+02,1.246830026352816034e+00,1.980162837571661782e-01,1.370607380997803659e-01,1.440325370147554906e-01,4.142212649654553047e+00,2.477697738987139076e-01,5.130587993032520444e-02,3.937052264652152189e-02,5.806445207523347474e-02,1.254074931579843621e+00,2.697993585950397843e-02,1.307173088201096789e-02,6.618802117573707733e-03,1.575109923068040985e-02
1.769848000000000070e+02,1.275918182799131273e+00,1.963321012049892289e-01,1.410513753727913877e-01,1.509872662037139435e-01,4.147085960376230673e+00,2.427038609205496300e-01,5.623294925723598681e-02,4.623739739344046029e-02,5.486177759808263943e-02,1.254888856474902781e+00,3.166244961990294371e-02,1.821480549983789388e-02,6.198815373181565391e-03,1.007782155550174252e-02
1.770192999999999870e+02,1.256153378514767383e+00,2.082824763297566051e-01,1.405174470616046278e-01,1.438384244622454844e-01,4.134909971309388865e+00,2.449857000019655118e-01,5.309839535339033745e-02,3.935817890716819534e-02,6.274114029723421027e-02,1.265062308584703032e+00,2.435798573329073236e-02,9.980923867857427467e-03,1.261598521680085128e-02,1.502960529853680782e-02
1.770320000000000107e+02,1.261800838094728761e+00,2.066995375145896929e-01,1.419802809770001062e-01,1.446661579865260450e-01,4.131898359666811515e+00,2.437679279385711606e-01,4.911826718023348803e-02,4.030361015903616284e-02,6.454796242330829159e-02,1.266369725202167729e+00,2.178792976887677924e-02,9.873407537313028115e-03,1.468263646703960035e-02,1.486869187392336755e-02
