Temp,m2.0,m18.0,m26.0,m27.0,m28.0,m29.0,m41.0,m44.0,m45.0
176.8481,0.0,0.19750957334007418,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.8945,0.0,0.19765185277130562,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.8788,0.0,0.19760371080858302,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.7941,0.0,0.1973439895192445,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.7974,0.0,0.1973541085305175,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.8505,0.0,0.197516932621,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.9009,0.0,0.19767147752044104,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.9665,0.0,0.19787263119907855,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.9055,0.0,0.197685582808882,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.8099,0.0,0.1973924381186725,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.8533,0.0,0.19752551844874663,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.9335,0.0,0.1977714410863493,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.881,0.0,0.1976104568160983,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.8105,0.0,0.19739427793890388,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.8207,0.0,0.19742555488283836,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.7429,0.0,0.19718699152616148,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.7739,0.0,0.19728204890478598,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.8874,0.0,0.19763008156523368,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.8942,0.0,0.19765093286118993,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.8326,0.0,0.197462044650762,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.8189,0.0,0.19742003542214415,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.8509,0.0,0.19751815916782095,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.8443,0.0,0.19749792114527512,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.9281,0.0,0.19775488270426633,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.9268,0.0,0.19775089642709823,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.8664,0.0,0.19756568785713313,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.914,0.0,0.19771164692882742,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.883,0.0,0.19761658955020303,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.9234,0.0,0.19774047077912,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.8343,0.0,0.19746725747475105,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.8869,0.0,0.19762854838170738,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.8666,0.0,0.1975663011305437,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.8004,0.0,0.19736330763167467,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.889,0.0,0.19763498775251748,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177.0114,0.0,0.19801031107973147,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.8458,0.0,0.19750252069585367,0.0,0.0,0.0,0.0,0.0,0.0,0.0
