Temp,m2,m18,m26,m27,m28,m29,m31,m39,m41,m44,m45,m56,m57,m70
1.768480999999999881e+02,1.264518349936488262e+00,0.000000000000000000e+00,8.811209690547121276e-02,8.093852291809805477e-02,3.912826531129737884e+00,-1.385301653571037739e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.888665072588869398e-01,3.977564096406493305e-03,1.104064086299079428e-02,2.602085213965210642e-18,-2.169253981674800283e-02
1.768944999999999936e+02,1.264553503674088919e+00,0.000000000000000000e+00,8.817849302380334486e-02,8.093041022360515646e-02,3.912370828825223690e+00,-1.373578711433963706e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.882213308429037779e-01,4.068497847642658233e-03,1.101471380112947762e-02,8.673617379884035472e-19,-2.171862926504446872e-02
1.768788000000000125e+02,1.264541608982702625e+00,0.000000000000000000e+00,8.815602709583304775e-02,8.093315525169848812e-02,3.912525021199811270e+00,-1.377545310389837740e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.884396340698619277e-01,4.037729315435636263e-03,1.102348653542305212e-02,1.734723475976807094e-18,-2.170980158534071419e-02
1.767940999999999860e+02,1.264477438259108188e+00,0.000000000000000000e+00,8.803482556086145161e-02,8.094796441599985681e-02,3.913356874328960178e+00,-1.398944732782151368e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.896173591223235366e-01,3.871736023847244246e-03,1.107081459877766461e-02,1.734723475976807094e-18,-2.166217709674782277e-02
1.767974000000000103e+02,1.264479938417170324e+00,0.000000000000000000e+00,8.803954769858748919e-02,8.094738743557257366e-02,3.913324464466785280e+00,-1.398110989052558650e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.895714737306679165e-01,3.878203294948132096e-03,1.106897064825734800e-02,2.602085213965210642e-18,-2.166403259630342304e-02
1.768505000000000109e+02,1.264520168233260744e+00,0.000000000000000000e+00,8.811553118745397983e-02,8.093810329596899666e-02,3.912802960320883372e+00,-1.384695294494974194e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.888331360649568413e-01,3.982267566298096362e-03,1.103929980806692135e-02,1.734723475976807094e-18,-2.169388927097026104e-02
1.769009000000000071e+02,1.264558352465482205e+00,0.000000000000000000e+00,8.818765110908990956e-02,8.092929123126091362e-02,3.912307973334943068e+00,-1.371961753897893432e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.881323409924191115e-01,4.081040434020095226e-03,1.101113765466583960e-02,2.602085213965210642e-18,-2.172222780963709021e-02
1.769664999999999964e+02,1.264608052577262498e+00,0.000000000000000000e+00,8.828152148328347049e-02,8.091782155973609170e-02,3.911663704559594557e+00,-1.355387939152455368e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.872201950249912761e-01,4.209601944388356026e-03,1.097448215341365052e-02,1.734723475976807094e-18,-2.175911289171137200e-02
1.769054999999999893e+02,1.264561837534295963e+00,0.000000000000000000e+00,8.819423348289047448e-02,8.092848695551388416e-02,3.912262795951307659e+00,-1.370799565668758269e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.880683795373889300e-01,4.090055417978803037e-03,1.100856729939511669e-02,2.602085213965210642e-18,-2.172481426356302758e-02
1.768098999999999990e+02,1.264489408712860197e+00,0.000000000000000000e+00,8.805743458391396272e-02,8.094520190365094015e-02,3.913201699837337788e+00,-1.394952868864825224e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.893976654289479367e-01,3.902700533966428631e-03,1.106198598719557169e-02,1.734723475976807094e-18,-2.167106100371084948e-02
1.768532999999999902e+02,1.264522289579495196e+00,0.000000000000000000e+00,8.811953784976712944e-02,8.093761373681859772e-02,3.912775461043887404e+00,-1.383987875572898207e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.887942030053710418e-01,3.987754947838123565e-03,1.103773524398909966e-02,1.734723475976807094e-18,-2.169546363422951429e-02
1.769335000000000093e+02,1.264583050996641145e+00,0.000000000000000000e+00,8.823430010602166529e-02,8.092359136400918695e-02,3.911987803181340873e+00,-1.363725376448146620e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.876790489415320451e-01,4.144929233379925082e-03,1.099292165861673332e-02,1.734723475976807094e-18,-2.174055789615570583e-02
1.768810000000000002e+02,1.264543275754743901e+00,0.000000000000000000e+00,8.815917518765090111e-02,8.093277059808041962e-02,3.912503414625028153e+00,-1.376989481236801371e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.884090438087600683e-01,4.042040829502845101e-03,1.102225723507618826e-02,2.602085213965210642e-18,-2.171103858504442111e-02
1.768104999999999905e+02,1.264489863287053373e+00,0.000000000000000000e+00,8.805829315440930061e-02,8.094509699811862358e-02,3.913195807135123161e+00,-1.394801279095818081e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.893893226304641075e-01,3.903876401439305976e-03,1.106165072346461387e-02,2.602085213965210642e-18,-2.167139836726640970e-02
1.768206999999999880e+02,1.264497591048336256e+00,0.000000000000000000e+00,8.807288885283581781e-02,8.094331360407061582e-02,3.913095631197493152e+00,-1.392224253022569802e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.892474950562621050e-01,3.923866148478283300e-03,1.105595124003820595e-02,2.602085213965210642e-18,-2.167713354771088827e-02
1.767428999999999917e+02,1.264438647927962789e+00,0.000000000000000000e+00,8.796156087856403516e-02,8.095691635475092685e-02,3.913859718251184727e+00,-1.411880393071263395e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.903292779261686718e-01,3.771395332828074431e-03,1.109942377048669937e-02,8.673617379884035472e-19,-2.163338874000692719e-02
1.767738999999999976e+02,1.264462134261273407e+00,0.000000000000000000e+00,8.800592035417370562e-02,8.095149623558517415e-02,3.913555261970149246e+00,-1.404048255005618806e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.898982333379010790e-01,3.832148485593590143e-03,1.108210181105348524e-02,2.602085213965210642e-18,-2.165081919037740651e-02
1.768874000000000137e+02,1.264548124546137187e+00,0.000000000000000000e+00,8.816833327293790989e-02,8.093165160573649597e-02,3.912440559134751084e+00,-1.375372523700654770e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.883200539582793986e-01,4.054583415880271685e-03,1.101868108861255025e-02,2.602085213965210642e-18,-2.171463712963703219e-02
1.768942000000000121e+02,1.264553276386992442e+00,0.000000000000000000e+00,8.817806373855548163e-02,8.093046267637099556e-02,3.912373775176329449e+00,-1.373654506318491009e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.882255022421434720e-01,4.067909913906236907e-03,1.101488143299494959e-02,1.734723475976807094e-18,-2.171846058326669729e-02
1.768326000000000136e+02,1.264506606769832953e+00,0.000000000000000000e+00,8.808991716766664815e-02,8.094123297768099357e-02,3.912978759270255402e+00,-1.389217722603841576e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.890820295530208472e-01,3.947187520023816981e-03,1.104930184270737359e-02,1.734723475976807094e-18,-2.168382459156278919e-02
1.768189000000000135e+02,1.264496227325756950e+00,0.000000000000000000e+00,8.807031314134899924e-02,8.094362832066732960e-02,3.913113309304134368e+00,-1.392679022329620375e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.892725234517089294e-01,3.920338546059703305e-03,1.105695703123107942e-02,8.673617379884035472e-19,-2.167612145704423537e-02
1.768508999999999958e+02,1.264520471282722935e+00,0.000000000000000000e+00,8.811610356778490361e-02,8.093803335894790563e-02,3.912799031852743692e+00,-1.384594234648919564e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.888275741993054702e-01,3.983051477946634999e-03,1.103907629891294484e-02,8.673617379884035472e-19,-2.169411418000728384e-02
1.768443000000000040e+02,1.264515470966598665e+00,0.000000000000000000e+00,8.810665929233216231e-02,8.093918731980245806e-02,3.912863851577092156e+00,-1.386261722108060312e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.889193449826124915e-01,3.970116935744942566e-03,1.104276419995356417e-02,2.602085213965210642e-18,-2.169040318089614575e-02
1.769281000000000006e+02,1.264578959828903226e+00,0.000000000000000000e+00,8.822657297156050182e-02,8.092453551379939769e-02,3.912040837501264079e+00,-1.365089684369270584e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.877541341278770703e-01,4.134346426124001217e-03,1.099593903219542312e-02,1.734723475976807094e-18,-2.173752162415569858e-02
1.769267999999999859e+02,1.264577974918151604e+00,0.000000000000000000e+00,8.822471273548671000e-02,8.092476280911926889e-02,3.912053605022725034e+00,-1.365418128868817749e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.877722101912544073e-01,4.131798713266045947e-03,1.099666543694585719e-02,2.602085213965210642e-18,-2.173679066978530597e-02
1.768663999999999987e+02,1.264532214449378245e+00,0.000000000000000000e+00,8.813828330558950985e-02,8.093532329936491132e-02,3.912646803712225729e+00,-1.380678165616116004e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.886120519051696753e-01,4.013428054329408468e-03,1.103041531919635165e-02,1.734723475976807094e-18,-2.170282940519252177e-02
1.769139999999999873e+02,1.264568277335365032e+00,0.000000000000000000e+00,8.820639656491269243e-02,8.092700079380708844e-02,3.912179316003281837e+00,-1.368652043941074592e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.879501898922177450e-01,4.106713540511272575e-03,1.100381772987311935e-02,8.673617379884035472e-19,-2.172959358060007687e-02
1.768830000000000098e+02,1.264544791002054414e+00,0.000000000000000000e+00,8.816203708930264726e-02,8.093242091297273011e-02,3.912483772284314654e+00,-1.376484182006759704e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.883812344804831174e-01,4.045960387745812376e-03,1.102113968930630572e-02,1.734723475976807094e-18,-2.171216313022961836e-02
1.769233999999999867e+02,1.264575398997723976e+00,0.000000000000000000e+00,8.821984750267816699e-02,8.092535727380203991e-02,3.912086997001936961e+00,-1.366277137559861465e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.878194860493243690e-01,4.125135464253082418e-03,1.099856526475466445e-02,1.734723475976807094e-18,-2.173487894297047862e-02
1.768343000000000131e+02,1.264507894730046766e+00,0.000000000000000000e+00,8.809234978407093353e-02,8.094093574533973989e-02,3.912962063280650771e+00,-1.388788218258315832e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.890583916239862550e-01,3.950519144530324767e-03,1.104835192880297690e-02,1.734723475976807094e-18,-2.168478045497020112e-02
1.768868999999999971e+02,1.264547745734309503e+00,0.000000000000000000e+00,8.816761779752474437e-02,8.093173902701340794e-02,3.912445469719929569e+00,-1.375498848508161509e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.883270062903485531e-01,4.053603526319470018e-03,1.101896047505503129e-02,1.734723475976807094e-18,-2.171435599334074068e-02
1.768666000000000054e+02,1.264532365974109229e+00,0.000000000000000000e+00,8.813856949575477051e-02,8.093528833085418539e-02,3.912644839478153447e+00,-1.380627635693091049e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.886092709723409921e-01,4.013820010153695134e-03,1.103030356461935646e-02,2.602085213965210642e-18,-2.170294185971103837e-02
1.768003999999999962e+02,1.264482211288135982e+00,0.000000000000000000e+00,8.804384055106587170e-02,8.094686290791139327e-02,3.913295000955717029e+00,-1.397353040207533481e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.895297597382547661e-01,3.884082632312515354e-03,1.106729432960251724e-02,8.673617379884035472e-19,-2.166571941408119290e-02
1.768890000000000100e+02,1.264549336743985508e+00,0.000000000000000000e+00,8.817062279425957882e-02,8.093137185765048036e-02,3.912424845262180373e+00,-1.374968284316624434e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.882978064956581488e-01,4.057719062474606647e-03,1.101778705199664421e-02,1.734723475976807094e-18,-2.171553676578519276e-02
