Temp,EthanolConcentration(bar)
176.8481,8.665720721716727e-06
176.8945,8.673847270206326e-06
176.8788,8.67109755444584e-06
176.7941,8.656263100629697e-06
176.7974,8.656841066362797e-06
176.8505,8.666141060431708e-06
176.9009,8.674968173446269e-06
176.9665,8.686457431655698e-06
176.9055,8.67577382264998e-06
176.8099,8.659030330503313e-06
176.8533,8.666631455599184e-06
176.9335,8.680677774324737e-06
176.881,8.671482864934567e-06
176.8105,8.659135415182056e-06
176.8207,8.660921854720718e-06
176.7429,8.647295874710146e-06
176.7739,8.652725249778623e-06
176.8874,8.672603768174516e-06
176.8942,8.673794727866957e-06
176.8326,8.66300603418249e-06
176.8189,8.660606600684486e-06
176.8509,8.666211116884201e-06
176.8443,8.665055185418014e-06
176.9281,8.679732012216035e-06
176.9268,8.679504328745415e-06
176.8664,8.668925804418443e-06
176.914,8.677262522265528e-06
176.883,8.671833147197053e-06
176.9234,8.678908848899197e-06
176.8343,8.6633037741056e-06
176.8869,8.672516197608893e-06
176.8666,8.668960832644693e-06
176.8004,8.657366489756517e-06
176.889,8.6728839939845e-06
177.0114,8.694321268448432e-06
176.8458,8.665317897114876e-06
176.9231,8.678856306559828e-06
176.9848,8.689662514357415e-06
177.0193,8.695704883385236e-06
177.032,8.697929175752008e-06
176.9611,8.685511669546992e-06
176.8494,8.665948405187342e-06
176.9185,8.678050657356113e-06
176.8734,8.670151792337134e-06
176.9646,8.68612466350634e-06
176.9394,8.68171110699906e-06
176.8496,8.665983433413593e-06
176.9133,8.677139923473661e-06
176.7969,8.656753495797174e-06
176.792,8.65589530425409e-06
176.7845,8.654581745769786e-06
176.8007,8.65741903209589e-06
176.9141,8.677280036378653e-06
176.8142,8.65978343736765e-06
176.7997,8.65724389096465e-06
176.7839,8.654476661091037e-06
176.8388,8.664091909196183e-06
176.9101,8.676579471853688e-06
177.0272,8.697088498322043e-06
177.0201,8.695844996290233e-06
176.969,8.686895284483799e-06
177.0026,8.69278002649351e-06
176.9059,8.675843879102479e-06
176.8848,8.672148401233286e-06
176.8855,8.672271000025152e-06
176.9602,8.685354042528874e-06
177.023,8.696352905570832e-06
176.9497,8.683515060650846e-06
176.8147,8.659871007933267e-06
176.8542,8.6667890826173e-06
176.9009,8.674968173446269e-06
176.9337,8.68071280255098e-06
176.8691,8.669398685472798e-06
176.9353,8.680993028360972e-06
176.9734,8.687665905461264e-06
176.9555,8.684530879212046e-06
176.8202,8.660834284155098e-06
176.9251,8.679206588822305e-06
176.8746,8.67036196169462e-06
177.0054,8.693270421660989e-06
177.0023,8.692727484154134e-06
177.0163,8.695179459991515e-06
177.1247,8.714002307108e-06
177.248,8.734453166699739e-06
177.2921,8.741767707721604e-06
177.5623,8.786583784458736e-06
177.7207,8.798347445492363e-06
177.9972,8.83738308868541e-06
178.29,8.889238271335729e-06
178.6543,8.927662133644039e-06
179.0592,9.050342713968103e-06
179.3064,9.093665220290317e-06
179.7101,9.122693156506489e-06
180.1774,9.319967099908932e-06
180.5681,9.398467973792635e-06
180.8962,9.149375113458382e-06
181.384,9.357076678345958e-06
181.8506,9.221694168717564e-06
182.297,9.268387261029939e-06
182.8438,9.551657931162588e-06
183.2631,9.412243483377383e-06
183.6243,9.692073045281122e-06
184.0933,9.806674123325513e-06
184.5898,9.611501992596122e-06
185.0357,9.771393505554645e-06
185.4777,9.42800213617949e-06
185.9069,9.481923680334923e-06
186.4914,9.638745988711039e-06
187.0203,9.425130933318751e-06
187.6229,9.476196388240612e-06
188.1595,9.459741948727195e-06
188.6697,9.385074400566487e-06
189.3571,9.56215062114579e-06
189.9038,9.518138387568458e-06
190.5653,9.615416290832098e-06
191.2235,9.583390262452193e-06
191.9041,9.652578566079254e-06
192.46,9.705712140419405e-06
193.0445,9.594543908035391e-06
193.7611,9.49160757432371e-06
194.4817,9.636942272445057e-06
195.1538,9.584667345509623e-06
195.7753,9.593334175566215e-06
196.417,9.621216572304827e-06
197.0638,9.833193534431078e-06
197.6513,9.75790302884144e-06
198.3369,1.0126482265385942e-05
199.1706,9.691450920032261e-06
199.7659,1.0274533780280735e-05
