Temp,m2,m18,m26,m27,m28,m29,m31,m39,m41,m44,m45,m56,m57,m70
1.768480999999999881e+02,1.264518349936488262e+00,0.000000000000000000e+00,8.811209690547118500e-02,8.093852291809805477e-02,3.912826531129737884e+00,-1.385301653571037739e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.885487641657573432e-01,3.977564096406486366e-03,1.100688683800543285e-02,-8.673617379884035472e-19,-2.169253981674800283e-02
1.768944999999999936e+02,1.264553503674088919e+00,0.000000000000000000e+00,8.817849302380334486e-02,8.093041022360514258e-02,3.912370828825223690e+00,-1.373578711433964261e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.879032897763294852e-01,4.068497847642654763e-03,1.098105211146205296e-02,-8.673617379884035472e-19,-2.171862926504446872e-02
1.768788000000000125e+02,1.264541608982702625e+00,0.000000000000000000e+00,8.815602709583306162e-02,8.093315525169847424e-02,3.912525021199811270e+00,-1.377545310389836630e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.881216938261988769e-01,4.037729315435629324e-03,1.098979360298641197e-02,0.000000000000000000e+00,-2.170980158534071766e-02
1.767940999999999860e+02,1.264477438259108188e+00,0.000000000000000000e+00,8.803482556086146549e-02,8.094796441599987069e-02,3.913356874328960178e+00,-1.398944732782150258e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.892999628086337705e-01,3.871736023847240776e-03,1.103695311458608233e-02,0.000000000000000000e+00,-2.166217709674782277e-02
1.767974000000000103e+02,1.264479938417170324e+00,0.000000000000000000e+00,8.803954769858748919e-02,8.094738743557257366e-02,3.913324464466785280e+00,-1.398110989052558650e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.892540562249013902e-01,3.878203294948125157e-03,1.103511573101725700e-02,8.673617379884035472e-19,-2.166403259630342998e-02
1.768505000000000109e+02,1.264520168233260744e+00,0.000000000000000000e+00,8.811553118745399371e-02,8.093810329596901054e-02,3.912802960320883372e+00,-1.384695294494973639e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.885153775594079040e-01,3.982267566298092892e-03,1.100555055904628085e-02,-8.673617379884035472e-19,-2.169388927097026104e-02
1.769009000000000071e+02,1.264558352465482205e+00,0.000000000000000000e+00,8.818765110908993732e-02,8.092929123126091362e-02,3.912307973334943512e+00,-1.371961753897891767e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.878142588260595769e-01,4.081040434020091756e-03,1.097748870090433683e-02,0.000000000000000000e+00,-2.172222780963709715e-02
1.769664999999999964e+02,1.264608052577262498e+00,0.000000000000000000e+00,8.828152148328348436e-02,8.091782155973609170e-02,3.911663704559594557e+00,-1.355387939152453702e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.869016915858307648e-01,4.209601944388352557e-03,1.094096374268785192e-02,0.000000000000000000e+00,-2.175911289171137547e-02
1.769054999999999893e+02,1.264561837534295963e+00,0.000000000000000000e+00,8.819423348289047448e-02,8.092848695551387028e-02,3.912262795951307659e+00,-1.370799565668758824e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.877502678305584372e-01,4.090055417978796098e-03,1.097492749956599685e-02,-8.673617379884035472e-19,-2.172481426356303105e-02
1.768098999999999990e+02,1.264489408712860197e+00,0.000000000000000000e+00,8.805743458391399048e-02,8.094520190365095402e-02,3.913201699837337788e+00,-1.394952868864822448e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.890801676501629558e-01,3.902700533966425162e-03,1.102815594477173609e-02,0.000000000000000000e+00,-2.167106100371084948e-02
