Temp,m2,m18,m26,m27,m28,m29,m31,m39,m41,m44,m45,m56,m57,m70
1.768480999999999881e+02,1.264518349936488262e+00,1.975095733400741849e-01,1.343369353762824125e-01,1.227823922598262063e-01,4.146750939107900713e+00,2.576860177180692046e-01,5.219975459296760656e-02,0.000000000000000000e+00,2.139065596443622680e-02,1.269000171683056566e+00,2.682133024640989336e-02,1.100688683800543285e-02,-8.673617379884035472e-19,-2.169253981674800283e-02
1.768944999999999936e+02,1.264553503674088919e+00,1.976518527713056195e-01,1.348951810590524047e-01,1.231379494940425534e-01,4.149072737804639921e+00,2.634210529401999068e-01,5.224870653250816843e-02,0.000000000000000000e+00,2.163957686548765441e-02,1.272902235235003232e+00,2.693368644815705149e-02,1.098105211146205296e-02,-8.673617379884035472e-19,-2.171862926504446872e-02
1.768788000000000125e+02,1.264541608982702625e+00,1.976037108085830218e-01,1.347062918948395693e-01,1.230176424126376011e-01,4.148287129193891865e+00,2.614805345568526618e-01,5.223214305296536991e-02,0.000000000000000000e+00,2.155535147439934657e-02,1.271581924938333996e+00,2.689566937127282550e-02,1.098979360298641197e-02,0.000000000000000000e+00,-2.170980158534071766e-02
1.767940999999999860e+02,1.264477438259108188e+00,1.973439895192445059e-01,1.336872529006450372e-01,1.223685972027640650e-01,4.144048845797038361e+00,2.510116232785263857e-01,5.214278466332990247e-02,0.000000000000000000e+00,2.110096353648802103e-02,1.264458977032084208e+00,2.669057087368700149e-02,1.103695311458608233e-02,0.000000000000000000e+00,-2.166217709674782277e-02
1.767974000000000103e+02,1.264479938417170324e+00,1.973541085305174914e-01,1.337269557186007429e-01,1.223938846784736328e-01,4.144213973721591948e+00,2.514195029387253366e-01,5.214626615903000112e-02,0.000000000000000000e+00,2.111866696264053794e-02,1.264736494482977980e+00,2.669856172424233884e-02,1.103511573101725700e-02,8.673617379884035472e-19,-2.166403259630342998e-02
1.768505000000000109e+02,1.264520168233260744e+00,1.975169326210000076e-01,1.343658101529777160e-01,1.228007831512512443e-01,4.146871032143939040e+00,2.579826574709407905e-01,5.220228658984040621e-02,0.000000000000000000e+00,2.140353118345623279e-02,1.269202002556435227e+00,2.682714177408655407e-02,1.100555055904628085e-02,-8.673617379884035472e-19,-2.169388927097026104e-02
1.769009000000000071e+02,1.264558352465482205e+00,1.976714775204410357e-01,1.349721804635724276e-01,1.231869918711759049e-01,4.149392985900743014e+00,2.642120922811814210e-01,5.225545852416893511e-02,0.000000000000000000e+00,2.167391078287435324e-02,1.273440450897342258e+00,2.694918385529462487e-02,1.097748870090433683e-02,0.000000000000000000e+00,-2.172222780963709715e-02
1.769664999999999964e+02,1.264608052577262498e+00,1.978726311990785525e-01,1.357614243599024606e-01,1.236896762367919178e-01,4.152675528885788836e+00,2.723202455262569432e-01,5.232466643869177619e-02,0.000000000000000000e+00,2.202583343608510713e-02,1.278957161436300227e+00,2.710803227845427765e-02,1.094096374268785192e-02,0.000000000000000000e+00,-2.175911289171137547e-02
1.769054999999999893e+02,1.264561837534295963e+00,1.976855828088819877e-01,1.350275237855710908e-01,1.232222410797402384e-01,4.149623164219815585e+00,2.647806518075119797e-01,5.226031151817510378e-02,0.000000000000000000e+00,2.169858828599561390e-02,1.273827293404645733e+00,2.696032261667467497e-02,1.097492749956599685e-02,-8.673617379884035472e-19,-2.172481426356303105e-02
1.768098999999999990e+02,1.264489408712860197e+00,1.973924381186724919e-01,1.338773451805538306e-01,1.224896705713120343e-01,4.144839458284292455e+00,2.529645016515782441e-01,5.215945364274243712e-02,0.000000000000000000e+00,2.118572539503583985e-02,1.265787696948480479e+00,2.672883009755777986e-02,1.102815594477173609e-02,0.000000000000000000e+00,-2.167106100371084948e-02
1.768532999999999902e+02,1.264522289579495196e+00,1.975255184487466342e-01,1.343994973924550196e-01,1.228222391912469208e-01,4.147011140685983754e+00,2.583287371826202827e-01,5.220524058619199076e-02,0.000000000000000000e+00,2.141855227231267284e-02,1.269437471908705151e+00,2.683392188970913639e-02,1.100399156692729967e-02,0.000000000000000000e+00,-2.169546363422952123e-02
1.769335000000000093e+02,1.264583050996641145e+00,1.977714410863493089e-01,1.353643961803464302e-01,1.234368014796984742e-01,4.151024249640263619e+00,2.682414489243171163e-01,5.228985148169096320e-02,0.000000000000000000e+00,2.184879917456143683e-02,1.276181986927372947e+00,2.702812377290140372e-02,1.095933757837602371e-02,0.000000000000000000e+00,-2.174055789615570930e-02
1.768810000000000002e+02,1.264543275754743901e+00,1.976104568160982899e-01,1.347327604401434009e-01,1.230345007297770910e-01,4.148397214476925221e+00,2.617524543303115236e-01,5.223446405009873894e-02,0.000000000000000000e+00,2.156715375850077471e-02,1.271766936572260587e+00,2.690099660497632592e-02,1.098856868060720839e-02,0.000000000000000000e+00,-2.171103858504442111e-02
1.768104999999999905e+02,1.264489863287053373e+00,1.973942779389038782e-01,1.338845638747273026e-01,1.224942682941682348e-01,4.144869481543301148e+00,2.530386615897952662e-01,5.216008664196061795e-02,0.000000000000000000e+00,2.118894419979085175e-02,1.265838154666823812e+00,2.673028297947691381e-02,1.102782187503195850e-02,-8.673617379884035472e-19,-2.167139836726641663e-02
1.768206999999999880e+02,1.264497591048336256e+00,1.974255548828383611e-01,1.340072816756810170e-01,1.225724295827243654e-01,4.145379876946464037e+00,2.542993805394882512e-01,5.217084762866996267e-02,0.000000000000000000e+00,2.124366388062540190e-02,1.266695935878674684e+00,2.675498197210235754e-02,1.102214268945561453e-02,0.000000000000000000e+00,-2.167713354771088480e-02
