Source:,Measured-TuningCorrected
Molecules,Acetaldehyde
Electron Numbers,24
ionizationEfficiencies,1.4285714285714284
ionizationEfficienciesSources,MadixAndKo
Molecular Mass,44.0526
1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000000e+01,0.000000000000000000e+00
1.300000000000000000e+01,0.000000000000000000e+00
1.400000000000000000e+01,0.000000000000000000e+00
1.500000000000000000e+01,0.000000000000000000e+00
1.600000000000000000e+01,0.000000000000000000e+00
2.200000000000000000e+01,0.000000000000000000e+00
2.400000000000000000e+01,0.000000000000000000e+00
2.500000000000000000e+01,0.000000000000000000e+00
2.600000000000000000e+01,1.070107010701070216e+01
2.700000000000000000e+01,7.740774077407741594e+00
2.800000000000000000e+01,6.000600060006000547e+01
2.900000000000000000e+01,1.000000000000000000e+02
3.000000000000000000e+01,0.000000000000000000e+00
4.100000000000000000e+01,5.460546054605460498e+00
4.400000000000000000e+01,9.998999899989999562e+01
4.500000000000000000e+01,0.000000000000000000e+00
4.600000000000000000e+01,0.000000000000000000e+00
