Source:,NIST-TuningCorrected
Molecules,Crotyl Alcohol
Electron Numbers,40
ionizationEfficiencies,2.1142857142857143
ionizationEfficienciesSources,MadixAndKo
Molecular Mass,72.1057
1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000000e+01,4.598915953624186925e-01
1.300000000000000000e+01,9.037847423419577142e-01
1.400000000000000000e+01,3.716988231001596255e+00
1.500000000000000000e+01,9.762639437154586375e+00
1.600000000000000000e+01,8.578512213642591755e-01
1.700000000000000000e+01,9.525345678825410944e-01
1.800000000000000000e+01,1.013157518845424709e+00
1.900000000000000000e+01,1.056495010956168823e+00
2.000000000000000000e+01,0.000000000000000000e+00
2.200000000000000000e+01,0.000000000000000000e+00
2.400000000000000000e+01,4.169343756411070245e-01
2.500000000000000000e+01,2.762937581135124443e+00
2.600000000000000000e+01,1.463576885506877900e+01
2.700000000000000000e+01,5.422191680627965127e+01
2.800000000000000000e+01,1.846172080544183558e+01
2.900000000000000000e+01,9.341620158582644251e+01
3.000000000000000000e+01,4.714670385454953205e+00
3.100000000000000000e+01,3.621466558053940332e+01
3.200000000000000000e+01,1.551912418680352568e+00
3.300000000000000000e+01,0.000000000000000000e+00
3.400000000000000000e+01,3.116136387645673245e-01
3.600000000000000000e+01,1.261328684641253917e+00
3.700000000000000000e+01,7.855627458810515940e+00
3.800000000000000000e+01,1.376908994221824400e+01
3.900000000000000000e+01,5.897378478936809643e+01
4.000000000000000000e+01,8.078669091713342354e+00
4.100000000000000000e+01,3.438668376988170650e+01
4.200000000000000000e+01,8.872419450859556633e+00
4.300000000000000000e+01,4.444178520315630010e+01
4.400000000000000000e+01,1.154412184324362656e+01
4.500000000000000000e+01,3.269790300773042890e+00
4.600000000000000000e+01,0.000000000000000000e+00
4.700000000000000000e+01,0.000000000000000000e+00
4.800000000000000000e+01,4.773186499688273909e-01
4.900000000000000000e+01,2.350524140711768961e+00
5.000000000000000000e+01,6.866497730433301250e+00
5.100000000000000000e+01,6.096045128871147689e+00
5.200000000000000000e+01,2.161091690346078398e+00
5.300000000000000000e+01,1.364073616899919017e+01
5.400000000000000000e+01,9.192897758407553965e+00
5.500000000000000000e+01,8.734710604047103644e+00
5.600000000000000000e+01,4.607942748497634855e-01
5.700000000000000000e+01,1.000000000000000000e+02
5.800000000000000000e+01,3.237115431150648703e+00
5.900000000000000000e+01,3.395769574660206236e-01
6.600000000000000000e+01,0.000000000000000000e+00
6.700000000000000000e+01,0.000000000000000000e+00
6.800000000000000000e+01,3.277461478856064647e-01
6.900000000000000000e+01,1.864691725901449937e+00
7.000000000000000000e+01,1.430870250048232872e+00
7.100000000000000000e+01,7.267248799776569790e+00
7.200000000000000000e+01,2.692231136768363697e+01
7.300000000000000000e+01,1.166680815912905844e+00
