Temp,m2,m18,m26,m27,m28,m29,m31,m39,m41,m44,m45,m56,m57,m70
1.768480999999999881e+02,1.264518349936490038e+00,0.000000000000000000e+00,8.811209690547223972e-02,8.093852291809888744e-02,3.912826531129744989e+00,-1.385301653570912839e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.885487641657610070e-01,3.977564096406649430e-03,1.100688683800544673e-02,0.000000000000000000e+00,-2.169253981674808263e-02
1.768944999999999936e+02,1.264553503674090695e+00,0.000000000000000000e+00,8.817849302380388610e-02,8.093041022360561443e-02,3.912370828825227687e+00,-1.373578711433922073e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.879032897763284859e-01,4.068497847642765786e-03,1.098105211146206683e-02,8.673617379884035472e-19,-2.171862926504453117e-02
1.768788000000000125e+02,1.264541608982704401e+00,0.000000000000000000e+00,8.815602709583403307e-02,8.093315525169927915e-02,3.912525021199817932e+00,-1.377545310389751698e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.881216938262003202e-01,4.037729315435733407e-03,1.098979360298643973e-02,8.673617379884035472e-19,-2.170980158534077317e-02
1.767940999999999860e+02,1.264477438259110187e+00,0.000000000000000000e+00,8.803482556086156263e-02,8.094796441600039805e-02,3.913356874328964619e+00,-1.398944732782102240e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.892999628086333264e-01,3.871736023847341390e-03,1.103695311458609621e-02,8.673617379884035472e-19,-2.166217709674789910e-02
1.767974000000000103e+02,1.264479938417172100e+00,0.000000000000000000e+00,8.803954769858794716e-02,8.094738743557304550e-02,3.913324464466789721e+00,-1.398110989052515352e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.892540562249002800e-01,3.878203294948284752e-03,1.103511573101727088e-02,1.734723475976807094e-18,-2.166403259630348549e-02
1.768505000000000109e+02,1.264520168233262520e+00,0.000000000000000000e+00,8.811553118745493740e-02,8.093810329597002362e-02,3.912802960320890033e+00,-1.384695294494854290e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.885153775594107906e-01,3.982267566298193506e-03,1.100555055904629473e-02,0.000000000000000000e+00,-2.169388927097031308e-02
1.769009000000000071e+02,1.264558352465483981e+00,0.000000000000000000e+00,8.818765110909090876e-02,8.092929123126173241e-02,3.912307973334949729e+00,-1.371961753897771308e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.878142588260626855e-01,4.081040434020195840e-03,1.097748870090435071e-02,8.673617379884035472e-19,-2.172222780963715266e-02
1.769664999999999964e+02,1.264608052577264052e+00,0.000000000000000000e+00,8.828152148328441418e-02,8.091782155973689661e-02,3.911663704559600774e+00,-1.355387939152370436e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.869016915858338734e-01,4.209601944388456640e-03,1.094096374268786580e-02,8.673617379884035472e-19,-2.175911289171142751e-02
1.769054999999999893e+02,1.264561837534297739e+00,0.000000000000000000e+00,8.819423348289098796e-02,8.092848695551434213e-02,3.912262795951311656e+00,-1.370799565668715525e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.877502678305573269e-01,4.090055417978900182e-03,1.097492749956601073e-02,8.673617379884035472e-19,-2.172481426356308309e-02
1.768098999999999990e+02,1.264489408712861973e+00,0.000000000000000000e+00,8.805743458391453171e-02,8.094520190365145362e-02,3.913201699837341785e+00,-1.394952868864740292e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.890801676501622897e-01,3.902700533966584756e-03,1.102815594477174997e-02,8.673617379884035472e-19,-2.167106100371092581e-02
1.768532999999999902e+02,1.264522289579496972e+00,0.000000000000000000e+00,8.811953784976767068e-02,8.093761373681941651e-02,3.912775461043894065e+00,-1.383987875572813275e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.884764265186688714e-01,3.987754947838279690e-03,1.100399156692731355e-02,1.734723475976807094e-18,-2.169546363422957674e-02
1.769335000000000093e+02,1.264583050996642921e+00,0.000000000000000000e+00,8.823430010602267837e-02,8.092359136401003350e-02,3.911987803181347534e+00,-1.363725376448058357e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.873607574231436868e-01,4.144929233380029165e-03,1.095933757837603759e-02,8.673617379884035472e-19,-2.174055789615578216e-02
1.768810000000000002e+02,1.264543275754745677e+00,0.000000000000000000e+00,8.815917518765142846e-02,8.093277059808123841e-02,3.912503414625035258e+00,-1.376989481236677859e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.880910894370493969e-01,4.042040829502949184e-03,1.098856868060723614e-02,8.673617379884035472e-19,-2.171103858504449743e-02
1.768104999999999905e+02,1.264489863287055149e+00,0.000000000000000000e+00,8.805829315441028593e-02,8.094509699811942849e-02,3.913195807135129822e+00,-1.394801279095732593e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.890718209985772891e-01,3.903876401439462102e-03,1.102782187503197238e-02,0.000000000000000000e+00,-2.167139836726647215e-02
1.768206999999999880e+02,1.264497591048338032e+00,0.000000000000000000e+00,8.807288885283635904e-02,8.094331360407110154e-02,3.913095631197497148e+00,-1.392224253022526503e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.889299279215880922e-01,3.923866148478442895e-03,1.102214268945562840e-02,8.673617379884035472e-19,-2.167713354771094031e-02
