Source:,NIST-TuningCorrected
Molecules,(E) 2-Butenal (Crotonaldehyde
Electron Numbers,38
ionizationEfficiencies,2.0285714285714285
ionizationEfficienciesSources,MadixAndKo
Molecular Mass,70.0898
2.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000000e+01,0.000000000000000000e+00
1.300000000000000000e+01,0.000000000000000000e+00
1.400000000000000000e+01,0.000000000000000000e+00
1.500000000000000000e+01,0.000000000000000000e+00
1.600000000000000000e+01,0.000000000000000000e+00
1.700000000000000000e+01,0.000000000000000000e+00
1.800000000000000000e+01,0.000000000000000000e+00
1.900000000000000000e+01,0.000000000000000000e+00
2.200000000000000000e+01,0.000000000000000000e+00
2.400000000000000000e+01,0.000000000000000000e+00
2.500000000000000000e+01,6.203806169123811998e+00
2.600000000000000000e+01,2.198502757380997963e+01
2.700000000000000000e+01,5.892724675382846300e+01
2.800000000000000000e+01,0.000000000000000000e+00
2.900000000000000000e+01,4.550292126155967054e+01
3.000000000000000000e+01,2.299359634594345447e+00
3.100000000000000000e+01,2.266390656960698635e+00
3.300000000000000000e+01,1.101958146004232697e+00
3.600000000000000000e+01,4.237727434232961166e+00
3.700000000000000000e+01,1.883539726197334474e+01
3.800000000000000000e+01,2.998505241177036851e+01
3.900000000000000000e+01,9.914379264427937244e+01
4.000000000000000000e+01,2.729191995667869008e+01
4.100000000000000000e+01,1.000000000000000000e+02
4.200000000000000000e+01,2.969896305621298538e+01
4.300000000000000000e+01,3.921632500650078068e+00
4.400000000000000000e+01,0.000000000000000000e+00
4.500000000000000000e+01,0.000000000000000000e+00
4.600000000000000000e+01,0.000000000000000000e+00
4.700000000000000000e+01,0.000000000000000000e+00
4.800000000000000000e+01,0.000000000000000000e+00
4.900000000000000000e+01,3.740747307270110067e+00
5.000000000000000000e+01,4.648351854045197129e+00
5.100000000000000000e+01,3.698924717987872146e+00
5.200000000000000000e+01,1.840738506598672330e+00
5.300000000000000000e+01,2.749753775765938713e+00
5.400000000000000000e+01,0.000000000000000000e+00
5.500000000000000000e+01,4.553735319766106571e+00
6.600000000000000000e+01,0.000000000000000000e+00
6.700000000000000000e+01,0.000000000000000000e+00
6.800000000000000000e+01,4.645432283618251113e+00
6.900000000000000000e+01,6.074497215998408706e+01
7.000000000000000000e+01,7.712648372941880837e+01
7.100000000000000000e+01,7.577383850442689806e+00
7.200000000000000000e+01,0.000000000000000000e+00
