Experiment,,,,,,,,,,,,,,
Temp,m2.0,m18.0,m26.0,m27.0,m28.0,m29.0,m31.0,m39.0,m41.0,m44.0,m45.0,m56.0,m57.0,m70.0
176.8481,0.0,-5.820766091346741e-11,381333.56398550514,106968.41547752662,407691.3959727909,-61227.73111770184,314237.45110000647,0.0,121163.98989189841,442279.39078378194,483651.04849613487,489759.562781764,0.0,333268.955366877
176.8945,0.0,-5.820766091346741e-11,381333.56398550514,106968.41547752662,407691.3959727909,-61227.73111770184,314237.45110000647,0.0,121163.98989189841,442279.39078378194,483651.04849613487,489759.562781764,0.0,333268.955366877
176.8788,0.0,-5.820766091346741e-11,381333.56398550514,106968.41547752662,407691.3959727909,-61227.73111770184,314237.45110000647,0.0,121163.98989189841,442279.39078378194,483651.04849613487,489759.562781764,0.0,333268.955366877
176.7941,0.0,-5.820766091346741e-11,381333.56398550514,106968.41547752662,407691.3959727909,-61227.73111770184,314237.45110000647,0.0,121163.98989189841,442279.39078378194,483651.04849613487,489759.562781764,0.0,333268.955366877
176.7974,0.0,-5.820766091346741e-11,381333.56398550514,106968.41547752662,407691.3959727909,-61227.73111770184,314237.45110000647,0.0,121163.98989189841,442279.39078378194,483651.04849613487,489759.562781764,0.0,333268.955366877
176.8505,0.0,-5.820766091346741e-11,381333.56398550514,106968.41547752662,407691.3959727909,-61227.73111770184,314237.45110000647,0.0,121163.98989189841,442279.39078378194,483651.04849613487,489759.562781764,0.0,333268.955366877
176.9009,0.0,-5.820766091346741e-11,381333.56398550514,106968.41547752662,407691.3959727909,-61227.73111770184,314237.45110000647,0.0,121163.98989189841,442279.39078378194,483651.04849613487,489759.562781764,0.0,333268.955366877
176.9665,0.0,-5.820766091346741e-11,381333.56398550514,106968.41547752662,407691.3959727909,-61227.73111770184,314237.45110000647,0.0,121163.98989189841,442279.39078378194,483651.04849613487,489759.562781764,0.0,333268.955366877
176.9055,0.0,-5.820766091346741e-11,381333.56398550514,106968.41547752662,407691.3959727909,-61227.73111770184,314237.45110000647,0.0,121163.98989189841,442279.39078378194,483651.04849613487,489759.562781764,0.0,333268.955366877
176.8099,0.0,-5.820766091346741e-11,381333.56398550514,106968.41547752662,407691.3959727909,-61227.73111770184,314237.45110000647,0.0,121163.98989189841,442279.39078378194,483651.04849613487,489759.562781764,0.0,333268.955366877
