Mass,Acetaldehyde,(E) 2-Butenal (Crotonaldehyde,CO,CO2,Ethylene (Ethene),Ethanol,Crotyl Alcohol,H2,H2O
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3330956158170206,0.0
2.0,0.0,0.0,0.0,0.0,0.31262621710066785,0.0,0.0,0.31466104416114943,0.0
12.0,0.0,0.0,0.15982424500211992,0.14341701179720603,0.1598242450021199,0.1576629418862201,0.14867257276939944,0.0,0.0
13.0,0.0,0.0,0.0,0.0,0.14766891584547112,0.1456719892344045,0.13736537680201724,0.0,0.0
14.0,0.0,0.0,0.0,0.0,0.13610884496254883,0.13426824517923572,0.1266119052023993,0.0,0.0
15.0,0.0,0.0,0.0,0.0,0.12515512453949412,0.12346265190723202,0.11642247620387244,0.0,0.0
16.0,0.0,0.0,0.11482087784993238,0.1030335991448036,0.0,0.0,0.10680929740893796,0.0,0.11780531281876405
17.0,0.0,0.0,0.0,0.0,0.0,0.1036999923993906,0.09778673721127654,0.0,0.10785388019729371
18.0,0.0,0.0,0.0,0.0,0.0,0.09477592798156585,0.0893715471819332,0.0,0.09857234649297052
19.0,0.0,0.0,0.0,0.0,0.0,0.08651634443383678,0.08158294751891997,0.0,0.08998191062287544
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08210627274184254
22.0,0.0,0.0,0.0,0.05999907220745605,0.0,0.0,0.0,0.0,0.0
24.0,0.0,0.0,0.0,0.0,0.05676446311341004,0.05599683733174113,0.05280374559462116,0.0,0.0
25.0,0.0,0.04915912810876103,0.0,0.0,0.05288942070795549,0.05217419712111656,0.049199082710076905,0.0,0.0
26.0,0.049568744825069504,0.04626763408038924,0.0,0.0,0.049778514350894976,0.04910535954781722,0.046305238589350844,0.0,0.0
27.0,0.04718814016246844,0.044045569636191564,0.0,0.0,0.047387835228813166,0.04674700957727061,0.044081368138773856,0.0,0.0
28.0,0.04545473794195078,0.0,0.045647097439013976,0.04096105889211269,0.045647097439013976,0.04502981178297716,0.04246208962616189,0.0,0.0
29.0,0.04427579771658754,0.04132717934653762,0.04446316806710438,0.039898669311007745,0.04446316806710439,0.04386189268685819,0.04136076844866016,0.0,0.0
30.0,0.0,0.04064398160547634,0.0,0.0,0.043728127920058424,0.04313679248703426,0.0406770154314088,0.0,0.0
31.0,0.0,0.04027355515707428,0.0,0.0,0.0,0.04274364673198659,0.04030628791499289,0.0,0.0
