Source:,Measured-TuningCorrected, NIST-TuningCorrected, NIST-TuningCorrected, NIST-TuningCorrected, NIST-TuningCorrected, NISTFake-TuningCorrected
Molecules,Acetaldehyde, (E) 2-Butenal (Crotonaldehyde, Ethylene (Ethene), Ethanol, Crotyl Alcohol, 1butanal
Electron Numbers,24, 38, 16, 26, 40, 40
ionizationEfficiencies,1.4285714285714284, 2.0285714285714285, 1.0857142857142859, 1.5142857142857142, 2.1142857142857143, 2.1142857142857143
ionizationEfficienciesSources,MadixAndKo, MadixAndKo, MadixAndKo, MadixAndKo, MadixAndKo, MadixAndKo
Molecular Mass,44.0526, 70.0898, 28.0532, 46.0684, 72.1057, 72.11
2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.874730863135451453e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.900650198197580965e-01,2.847753422992090888e-01,3.372853006140241194e-01,9.144849420391523709e-02
1.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.209087219909883659e+00,1.926558937432637508e+00,6.566327239803988469e-01,2.717774309269205268e-01
1.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.748358556557720878e+00,1.957827735510600631e+00,2.677171400695055770e+00,1.436943164283680963e+00
1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.827990113129091654e-01,8.741178933351354985e+00,6.975898176308161780e+00,4.811286955329977744e+00
1.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.085848226450467635e-01,1.769187068260088258e-01
1.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.782310396535563113e-01,6.714316989035576944e-01,2.636798647985668098e-01
1.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.745433148311517080e-01,7.101536963527981250e-01,1.310995667096075401e+00
1.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.348037056617584994e+00,7.369624438149103840e-01,1.739572440673053388e-01
2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.663002094793187391e-02
2.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.434585005713914896e+00,6.661611788136582168e-01,2.874299393515745149e-01,0.000000000000000000e+00
2.500000000000000000e+01,0.000000000000000000e+00,5.552786853046072224e+00,8.137505758572407544e+00,2.644403724933180655e+00,1.905045206936329505e+00,0.000000000000000000e+00
2.600000000000000000e+01,9.209411959455142238e+00,1.969770617089824327e+01,5.436362278758144839e+01,1.043352436561899133e+01,1.010149403345053898e+01,5.430427826546122994e+00
2.700000000000000000e+01,6.674055063114725073e+00,5.289388811492278109e+01,6.315602601092441404e+01,2.341547235218619250e+01,3.749260685803492521e+01,5.082638223272184064e+01
2.800000000000000000e+01,5.276618878802599966e+01,0.000000000000000000e+00,1.000000000000000000e+02,3.559712347560380685e+00,1.279989723192195150e+01,1.288981144639946130e+01
2.900000000000000000e+01,8.675457296058402790e+01,4.109751895106802522e+01,2.273935331033859253e+00,3.044717386689442762e+01,6.499500167120417871e+01,4.671733707200768748e+01
3.000000000000000000e+01,0.000000000000000000e+00,2.085752694076814961e+00,9.784352574568574989e-02,8.196727576736661192e+00,3.294493652957684038e+00,1.045570214529514486e+00
3.100000000000000000e+01,0.000000000000000000e+00,2.066435113261384959e+00,0.000000000000000000e+00,1.000000000000000000e+02,2.543623977940054459e+01,2.452229313774404673e+00
3.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.096510527620307762e+00,0.000000000000000000e+00
