Data Point,Temp,Crotyl Alcohol
0,176.8481,1.0,SolvedMolecules 
1,176.8945,1.0,SolvedMolecules 
2,176.8788,1.0,SolvedMolecules 
3,176.7941,1.0,SolvedMolecules 
4,176.7974,1.0,SolvedMolecules 
5,176.8505,1.0,SolvedMolecules 
6,176.9009,1.0,SolvedMolecules 
7,176.9665,1.0,SolvedMolecules 
8,176.9055,1.0,SolvedMolecules 
9,176.8099,1.0,SolvedMolecules 
10,176.8533,1.0,SolvedMolecules 
11,176.9335,1.0,SolvedMolecules 
12,176.881,1.0,SolvedMolecules 
13,176.8105,1.0,SolvedMolecules 
14,176.8207,1.0,SolvedMolecules 
15,176.7429,1.0,SolvedMolecules 
16,176.7739,1.0,SolvedMolecules 
17,176.8874,1.0,SolvedMolecules 
18,176.8942,1.0,SolvedMolecules 
19,176.8326,1.0,SolvedMolecules 
20,176.8189,1.0,SolvedMolecules 
21,176.8509,1.0,SolvedMolecules 
22,176.8443,1.0,SolvedMolecules 
23,176.9281,1.0,SolvedMolecules 
24,176.9268,1.0,SolvedMolecules 
25,176.8664,1.0,SolvedMolecules 
26,176.914,1.0,SolvedMolecules 
27,176.883,1.0,SolvedMolecules 
28,176.9234,1.0,SolvedMolecules 
29,176.8343,1.0,SolvedMolecules 
30,176.8869,1.0,SolvedMolecules 
31,176.8666,1.0,SolvedMolecules 
32,176.8004,1.0,SolvedMolecules 
33,176.889,1.0,SolvedMolecules 
34,177.0114,1.0,SolvedMolecules 
35,176.8458,1.0,SolvedMolecules 
36,176.9231,1.0,SolvedMolecules 
37,176.9848,1.0,SolvedMolecules 
38,177.0193,1.0,SolvedMolecules 
39,177.032,1.0,SolvedMolecules 
40,176.9611,1.0,SolvedMolecules 
41,176.8494,1.0,SolvedMolecules 
42,176.9185,1.0,SolvedMolecules 
43,176.8734,1.0,SolvedMolecules 
44,176.9646,1.0,SolvedMolecules 
45,176.9394,1.0,SolvedMolecules 
46,176.8496,1.0,SolvedMolecules 
47,176.9133,1.0,SolvedMolecules 
48,176.7969,1.0,SolvedMolecules 
49,176.792,1.0,SolvedMolecules 
50,176.7845,1.0,SolvedMolecules 
51,176.8007,1.0,SolvedMolecules 
52,176.9141,1.0,SolvedMolecules 
53,176.8142,1.0,SolvedMolecules 
54,176.7997,1.0,SolvedMolecules 
55,176.7839,1.0,SolvedMolecules 
56,176.8388,1.0,SolvedMolecules 
57,176.9101,1.0,SolvedMolecules 
58,177.0272,1.0,SolvedMolecules 
59,177.0201,1.0,SolvedMolecules 
60,176.969,1.0,SolvedMolecules 
61,177.0026,1.0,SolvedMolecules 
62,176.9059,1.0,SolvedMolecules 
63,176.8848,1.0,SolvedMolecules 
64,176.8855,1.0,SolvedMolecules 
65,176.9602,1.0,SolvedMolecules 
66,177.023,1.0,SolvedMolecules 
67,176.9497,1.0,SolvedMolecules 
68,176.8147,1.0,SolvedMolecules 
69,176.8542,1.0,SolvedMolecules 
70,176.9009,1.0,SolvedMolecules 
71,176.9337,1.0,SolvedMolecules 
72,176.8691,1.0,SolvedMolecules 
73,176.9353,1.0,SolvedMolecules 
74,176.9734,1.0,SolvedMolecules 
75,176.9555,1.0,SolvedMolecules 
76,176.8202,1.0,SolvedMolecules 
77,176.9251,1.0,SolvedMolecules 
78,176.8746,1.0,SolvedMolecules 
79,177.0054,1.0,SolvedMolecules 
80,177.0023,1.0,SolvedMolecules 
81,177.0163,1.0,SolvedMolecules 
82,177.1247,1.0,SolvedMolecules 
83,177.248,1.0,SolvedMolecules 
84,177.2921,1.0,SolvedMolecules 
85,177.5623,1.0,SolvedMolecules 
86,177.7207,1.0,SolvedMolecules 
87,177.9972,1.0,SolvedMolecules 
