Mass,ethyne,ethene,ethane,1butanal
12.0,2.0,2.0,2.0,2.0000836105193596
13.0,2.0,2.0,2.0,2.000533530985451
14.0,2.0,2.0,2.0,2.0108561448752535
15.0,2.0,2.0,2.0,2.0993397557166618
16.0,2.0,2.0,2.0,2.0001432609173317
17.0,2.0,2.0,2.0,2.000386344198534
18.0,0.0,0.0,0.0,2.0118987237880175
19.0,0.0,0.0,0.0,2.000251033478533
20.0,0.0,0.0,0.0,2.000069210386861
21.0,2.0,2.0,2.0,0.0
22.0,2.0,2.0,2.0,0.0
24.0,2.0,2.0,2.0,nan
25.0,2.0,2.0,2.0,nan
26.0,2.0,2.0,2.0,2.0704512989276393
27.0,2.0,2.0,2.0,4.260798521601794
28.0,2.0,2.0,2.0,2.1584620221438704
29.0,2.0,2.0,2.0,3.8315284350084835
30.0,2.0,2.0,2.0,2.001937484403727
31.0,0.0,0.0,0.0,2.0131561098475967
