Source:	NIST	 NIST	 NIST	 NIST
Molecules	ethene	 ethane	 ethyne	 1butanal
Electron Numbers	16	18	14	40
ionizationEfficiencies	1.085714286	1.171428571	1	2.114285714
ionizationEfficienciesSources	MadixAndKo	 MadixAndKo	 MadixAndKo	 MadixAndKo
Molecular Mass	28.05	30.07	26.0373	72.11
2.00E+00	1.00E-01	2.00E-01	0.00E+00	0.00E+00
1.20E+01	5.00E-01	4.00E-01	7.00E-01	1.00E-01
1.30E+01	9.00E-01	1.00E+00	3.20E+00	3.00E-01
1.40E+01	2.10E+00	3.00E+00	1.00E-01	1.60E+00
1.50E+01	3.00E-01	4.40E+00	0.00E+00	5.40E+00
1.60E+01	0.00E+00	1.00E-01	0.00E+00	2.00E-01
1.70E+01	0.00E+00	0.00E+00	0.00E+00	3.00E-01
1.80E+01	0.00E+00	0.00E+00	0.00E+00	1.50E+00
1.90E+01	0.00E+00	0.00E+00	0.00E+00	2.00E-01
2.00E+01	0.00E+00	0.00E+00	0.00E+00	1.00E-01
2.40E+01	2.30E+00	5.00E-01	5.00E+00	0.00E+00
2.50E+01	7.81E+00	3.50E+00	1.91E+01	0.00E+00
2.60E+01	5.30E+01	2.32E+01	1.00E+02	6.31E+00
2.70E+01	6.24E+01	3.32E+01	2.20E+00	5.90E+01
2.80E+01	1.00E+02	1.00E+02	1.00E-01	1.49E+01
2.90E+01	2.30E+00	2.15E+01	0.00E+00	5.39E+01
3.00E+01	1.00E-01	2.62E+01	0.00E+00	1.20E+00
3.10E+01	0.00E+00	5.00E-01	0.00E+00	2.80E+00
3.60E+01	0.00E+00	0.00E+00	0.00E+00	3.00E-01
3.70E+01	0.00E+00	0.00E+00	0.00E+00	2.70E+00
3.80E+01	0.00E+00	0.00E+00	0.00E+00	4.60E+00
3.90E+01	0.00E+00	0.00E+00	0.00E+00	2.31E+01
4.00E+01	0.00E+00	0.00E+00	0.00E+00	3.00E+00
4.10E+01	0.00E+00	0.00E+00	0.00E+00	6.06E+01
4.20E+01	0.00E+00	0.00E+00	0.00E+00	1.19E+01
4.30E+01	0.00E+00	0.00E+00	0.00E+00	7.87E+01
4.40E+01	0.00E+00	0.00E+00	0.00E+00	1.00E+02
4.50E+01	0.00E+00	0.00E+00	0.00E+00	3.50E+00
4.60E+01	0.00E+00	0.00E+00	0.00E+00	4.00E-01
4.80E+01	0.00E+00	0.00E+00	0.00E+00	1.00E-01
4.90E+01	0.00E+00	0.00E+00	0.00E+00	5.00E-01
5.00E+01	0.00E+00	0.00E+00	0.00E+00	1.20E+00
5.10E+01	0.00E+00	0.00E+00	0.00E+00	8.00E-01
5.20E+01	0.00E+00	0.00E+00	0.00E+00	2.00E-01
5.30E+01	0.00E+00	0.00E+00	0.00E+00	2.50E+00
5.40E+01	0.00E+00	0.00E+00	0.00E+00	2.30E+00
5.50E+01	0.00E+00	0.00E+00	0.00E+00	3.00E+00
5.60E+01	0.00E+00	0.00E+00	0.00E+00	4.00E-01
5.70E+01	0.00E+00	0.00E+00	0.00E+00	2.58E+01
5.80E+01	0.00E+00	0.00E+00	0.00E+00	1.10E+00
5.90E+01	0.00E+00	0.00E+00	0.00E+00	1.00E-01
6.00E+01	0.00E+00	0.00E+00	0.00E+00	1.00E+00
6.80E+01	0.00E+00	0.00E+00	0.00E+00	1.00E-01
6.90E+01	0.00E+00	0.00E+00	0.00E+00	6.00E-01
7.00E+01	0.00E+00	0.00E+00	0.00E+00	2.00E-01
7.10E+01	0.00E+00	0.00E+00	0.00E+00	7.21E+00
7.20E+01	0.00E+00	0.00E+00	0.00E+00	7.35E+01
7.30E+01	0.00E+00	0.00E+00	0.00E+00	4.70E+00
7.40E+01	0.00E+00	0.00E+00	0.00E+00	3.00E-01
7.50E+01	0.00E+00	0.00E+00	0.00E+00	1.00E-01
