Source:,NIST-TuningCorrected, NIST-TuningCorrected, NIST-TuningCorrected, NIST-TuningCorrected
Molecules,ethene, ethane, ethyne, 1butanal
Electron Numbers,16, 18, 14, 40
ionizationEfficiencies,1.0857142857142859, 1.1714285714285713, 1.0, 2.1142857142857143
ionizationEfficienciesSources,MadixAndKo, MadixAndKo, MadixAndKo, MadixAndKo
Molecular Mass,28.05, 30.07, 26.0373, 72.11
2.000000000000000000e+00,1.843729346610437081e-01,3.687458693220874162e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000000e+01,8.645664706015651069e-01,6.916531764812520189e-01,1.073191242614864871e+00,2.753316547023491045e-01
1.300000000000000000e+01,1.532919867333540687e+00,1.703244297037267652e+00,4.832564034331400471e+00,8.136281360864769940e-01
1.400000000000000000e+01,3.516937615100354630e+00,5.024196593000506361e+00,1.484896096463425574e-01,4.266709874567062855e+00
1.500000000000000000e+01,4.930789929275502526e-01,7.231825229604070593e+00,0.000000000000000000e+00,1.413242748524859316e+01
1.600000000000000000e+01,0.000000000000000000e+00,1.609837633312263538e-01,0.000000000000000000e+00,5.126722750115133564e-01
1.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.516287581583687150e-01
1.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.664979486074423587e+00
1.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.754065531245452725e-01
2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.306568518580560945e-01
2.400000000000000000e+01,2.864238685735756906e+00,6.226605838555993033e-01,5.520800708775470689e+00,0.000000000000000000e+00
2.500000000000000000e+01,9.277897787116827999e+00,4.157828713816761557e+00,2.013896436030216464e+01,0.000000000000000000e+00
2.600000000000000000e+01,5.972534958609436018e+01,2.619117313293883242e+01,1.000000000000000000e+02,1.133312961081673897e+01
2.700000000000000000e+01,6.643463247219978030e+01,3.540126422468247114e+01,2.078077818349278960e+00,1.000000000000000000e+02
2.800000000000000000e+01,1.000000000000000000e+02,1.000000000000000000e+02,8.867355646427636795e-02,2.374372400371115077e+01
2.900000000000000000e+01,2.144142989892662055e+00,2.006172049673481794e+01,0.000000000000000000e+00,7.993544120961026067e+01
3.000000000000000000e+01,8.617486999184845176e-02,2.259505091186266057e+01,0.000000000000000000e+00,1.646605809182474900e+00
3.100000000000000000e+01,0.000000000000000000e+00,3.943189310351862820e-01,0.000000000000000000e+00,3.516117787023879337e+00
3.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.833060742685153621e-01
3.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.267760593961624993e+00
3.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.489867865603219599e+00
3.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.024043426382608146e+00
4.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.011690558790822037e-02
4.100000000000000000e+01,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00
4.200000000000000000e+01,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00
4.300000000000000000e+01,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00
4.400000000000000000e+01,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00
4.500000000000000000e+01,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00
4.600000000000000000e+01,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00
4.800000000000000000e+01,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00
4.900000000000000000e+01,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00
5.000000000000000000e+01,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00
5.100000000000000000e+01,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00
5.200000000000000000e+01,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00
5.300000000000000000e+01,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00
5.400000000000000000e+01,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00
5.500000000000000000e+01,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00
5.600000000000000000e+01,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00
5.700000000000000000e+01,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00
5.800000000000000000e+01,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00
5.900000000000000000e+01,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00
6.000000000000000000e+01,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00
6.800000000000000000e+01,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00
6.900000000000000000e+01,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00
7.000000000000000000e+01,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00
7.100000000000000000e+01,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00
7.200000000000000000e+01,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00
7.300000000000000000e+01,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00
7.400000000000000000e+01,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00
