Source:,Measured-TuningCorrected, Measured-TuningCorrected, Measured-TuningCorrected
Molecules,ethyne, ethene, ethane
Electron Numbers,14, 16, 18
ionizationEfficiencies,1.0, 1.0857142857142859, 1.1714285714285713
ionizationEfficienciesSources,MadixAndKo, MadixAndKo, MadixAndKo
Molecular Mass,26.04, 28.05, 30.07
1.200000000000000000e+01,1.065426539454355614e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000000e+01,3.417878282737239370e+00,1.162330826728529942e+00,0.000000000000000000e+00
1.400000000000000000e+01,0.000000000000000000e+00,2.565271243830821835e+00,1.862903761669609359e+00
1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.878091212779183561e+00
1.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.400000000000000000e+01,5.662312705193794926e+00,2.643417924689552390e+00,0.000000000000000000e+00
2.500000000000000000e+01,2.096717726870505061e+01,8.578349663937469671e+00,3.189813515813642475e+00
2.600000000000000000e+01,1.000000000000000000e+02,5.493557908730296901e+01,2.043282091350685192e+01
2.700000000000000000e+01,2.186278001306808605e+00,5.890862309242237416e+01,3.073434172898690164e+01
2.800000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000000e+02
2.900000000000000000e+01,0.000000000000000000e+00,2.137125878251335820e+00,2.235347996207297072e+01
3.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.316497159378382875e+01
