Temp,m2,m18,m26,m27,m28,m29,m31,m39,m41,m44,m45,m56,m57,m70
3.003965000000000032e+02,1.336072768372507991e+00,2.699719771953326131e-01,2.020942060645320448e-01,2.057886072147173118e-01,4.662028286916551245e+00,6.882556059975459828e-01,6.043958679660454969e-02,6.069049556523412048e-02,9.697988053364758887e-02,1.765577291730034748e+00,3.911587455053977536e-02,9.590952012849818242e-03,1.027433569901592403e-02,1.741712732573413858e-02
3.014012999999999920e+02,1.338749766290263432e+00,2.640350704027693007e-01,2.019704192277009813e-01,2.063374510796732730e-01,4.664827476347634949e+00,6.817920925887703820e-01,6.024047849905989072e-02,6.178892264497656828e-02,9.971852959610233436e-02,1.754603835497712705e+00,3.773877574493381126e-02,1.216214405854467578e-02,1.020389187492676264e-02,1.582535207541846400e-02
3.022624999999999886e+02,1.339713804315469714e+00,2.635332946480475336e-01,2.043279278229124252e-01,2.037740357077377218e-01,4.665365240915683387e+00,6.783860106169120607e-01,6.248085005188119823e-02,6.106629893005456611e-02,9.821026931340588739e-02,1.751750586590713699e+00,3.862011060372849691e-02,1.203684222282119798e-02,9.084323124049040188e-03,1.667612338709292819e-02
3.031761999999999944e+02,1.336143013901526677e+00,2.630237509697340714e-01,2.056614113424581891e-01,2.032751842063967584e-01,4.666068535287539731e+00,6.755251474293162417e-01,6.351711811440197142e-02,6.158277267658544829e-02,9.851411565640948165e-02,1.748398384571230979e+00,3.811238238403216738e-02,1.306244039685044989e-02,9.182894156077543724e-03,1.604675186131465647e-02
3.041567000000000007e+02,1.332311165372610073e+00,2.624769548916051631e-01,2.070923849562423258e-01,2.027398620031956866e-01,4.666823247043700995e+00,6.724551284346378388e-01,6.462914704654776354e-02,6.213700547561522292e-02,9.884017600369526813e-02,1.744801105289078391e+00,3.756753449149385915e-02,1.416301937204550443e-02,9.288671650773773492e-03,1.537136740139824487e-02
3.048878000000000270e+02,1.329453985913669589e+00,2.620692418750625308e-01,2.081593760924357328e-01,2.023407043665202132e-01,4.667385990302170384e+00,6.701659995340671916e-01,6.545832027683007315e-02,6.255026360857866841e-02,9.908329963439455046e-02,1.742118830038510424e+00,3.716127412001526964e-02,1.498365505666060526e-02,9.367543579761453132e-03,1.486777374648251548e-02
3.058299999999999841e+02,1.325771815914745355e+00,2.615438045830553726e-01,2.095344534396130776e-01,2.018262927603437507e-01,4.668111221731702010e+00,6.672159007102163031e-01,6.652691146486439111e-02,6.308284713050200943e-02,9.939662350916522726e-02,1.738662066612050472e+00,3.663770891415135678e-02,1.604124354256442064e-02,9.469189225353280559e-03,1.421877095389384449e-02
3.068915999999999826e+02,1.321623024075583741e+00,2.609517814147314652e-01,2.110837870330788957e-01,2.012466925044352761e-01,4.668928357887073055e+00,6.638919515365797608e-01,6.773091953662979670e-02,6.368292213249081291e-02,9.974965325386546400e-02,1.734767245922674617e+00,3.604779507150102091e-02,1.723285459821666254e-02,9.583715883557789028e-03,1.348752348561518821e-02
3.077955000000000041e+02,1.321923744275289359e+00,2.651626346486134489e-01,2.093615172702960603e-01,1.990465228087283656e-01,4.661119204217559542e+00,6.645769496897018236e-01,6.558251787126424814e-02,6.490256951581291345e-02,1.030949837313093753e-01,1.736731265819709158e+00,3.196007264325884112e-02,1.638559079845804123e-02,1.445346668986025040e-02,1.372609106974967408e-02
3.085778000000000247e+02,1.311780599559273952e+00,2.642423485691459129e-01,2.130171578034442958e-01,1.996203191413201683e-01,4.663594393155608309e+00,6.628264919172418557e-01,7.019073501583894537e-02,6.690560919534738193e-02,9.704654333999218618e-02,1.738899659288921429e+00,3.574183118239462886e-02,1.862777422558120621e-02,1.153004972059581967e-02,1.111030406211044319e-02
