Mass,2buten1ol(crotyl alcohol),2butenalE(crotonaldehyde),13butadiene
1.0,nan,nan,nan
2.0,nan,nan,2.0
12.0,2.0,nan,2.0
13.0,2.0,nan,2.0
14.0,2.0,nan,2.0
15.0,2.0,nan,2.0
16.0,2.0,nan,2.0
17.0,2.0,nan,nan
18.0,2.0,nan,nan
19.0,2.0,nan,2.0
21.0,nan,nan,nan
24.0,2.0,nan,2.0
25.0,2.0,2.0,2.0
26.0,2.0,2.0,2.0
27.0,2.0,2.0,2.0
28.0,2.0,nan,2.0
29.0,2.0,2.0,2.0
30.0,2.0,2.0,nan
31.0,2.0,2.0,nan
32.0,2.0,nan,nan
33.0,nan,2.0,nan
34.0,2.0,nan,nan
36.0,2.0,2.0,2.0
37.0,2.0,2.0,2.0
38.0,2.0,2.0,2.0
39.0,2.0,2.0,2.0
40.0,2.0,2.0,2.0
41.0,2.0,2.0,2.0
42.0,2.0,2.0,nan
43.0,2.0,2.0,nan
44.0,2.0,nan,nan
45.0,2.0,nan,nan
46.0,nan,nan,nan
47.0,nan,nan,nan
48.0,2.0,2.0,2.0
49.0,2.0,2.0,2.0
50.0,2.0,2.0,2.0
51.0,2.0,2.0,2.0
52.0,2.0,2.0,2.0
53.0,2.0,2.0,2.0
54.0,2.0,2.0,2.0
55.0,2.0,2.0,2.0
56.0,2.0,nan,2.0
57.0,2.0,nan,nan
58.0,2.0,nan,nan
59.0,2.0,nan,nan
60.0,nan,nan,nan
61.0,nan,nan,nan
66.0,nan,2.0,nan
67.0,nan,2.0,nan
68.0,2.0,2.0,nan
69.0,2.0,2.0,nan
70.0,2.0,2.0,nan
71.0,2.0,2.0,nan
72.0,2.0,2.0,nan
73.0,2.0,nan,nan
74.0,nan,nan,nan
75.0,nan,nan,nan
