Mass,2butenalE(crotonaldehyde),2buteneE,13butadiene,acetone,diethylether,ethanol
1.4142135623730951,nan,2.0,nan,nan,nan,nan
2.8284271247461903,nan,2.0,2.0,nan,nan,nan
16.97056274847714,nan,2.0,2.0,nan,nan,2.0
18.384776310850235,nan,2.0,2.0,2.0,2.0,2.0
19.79898987322333,nan,2.0,2.0,2.0,2.0,2.0
21.213203435596427,nan,2.0,2.0,2.0,2.0,2.0
22.627416997969522,nan,2.0,2.0,2.0,nan,nan
24.041630560342615,nan,nan,nan,nan,nan,2.0
25.45584412271571,nan,nan,nan,nan,2.0,2.0
26.870057685088806,nan,nan,2.0,nan,2.0,2.0
33.94112549695428,nan,2.0,2.0,nan,nan,2.0
35.35533905932738,2.0,2.0,2.0,2.0,2.0,2.0
36.76955262170047,2.0,2.0,2.0,2.0,2.0,2.0
38.18376618407357,2.0,2.0,2.0,2.0,2.0,2.0
39.59797974644666,nan,2.0,2.0,2.0,2.0,2.0
41.012193308819754,2.0,2.0,2.0,2.0,2.0,2.0
42.42640687119285,2.0,2.0,nan,nan,2.0,2.0
43.840620433565945,2.0,nan,nan,2.0,2.0,2.0
45.254833995939045,nan,nan,nan,nan,2.0,nan
46.66904755831214,2.0,nan,nan,nan,2.0,2.0
50.91168824543142,2.0,2.0,2.0,2.0,nan,nan
52.32590180780452,2.0,2.0,2.0,2.0,nan,nan
53.74011537017761,2.0,2.0,2.0,2.0,nan,nan
55.154328932550705,2.0,2.0,2.0,2.0,2.0,nan
56.568542494923804,2.0,2.0,2.0,2.0,nan,nan
57.982756057296896,2.0,2.0,2.0,2.0,2.0,2.0
59.39696961966999,2.0,2.0,nan,2.0,2.0,2.0
60.81118318204309,2.0,2.0,nan,2.0,2.0,2.0
62.22539674441618,nan,nan,nan,2.0,2.0,2.0
63.63961030678928,nan,nan,nan,nan,2.0,2.0
65.05382386916237,nan,nan,nan,nan,2.0,2.0
66.46803743153546,nan,nan,nan,nan,2.0,2.0
67.88225099390856,2.0,2.0,2.0,nan,nan,nan
69.29646455628166,2.0,2.0,2.0,nan,nan,nan
70.71067811865476,2.0,2.0,2.0,nan,nan,nan
72.12489168102785,2.0,2.0,2.0,nan,nan,nan
73.53910524340094,2.0,2.0,2.0,nan,nan,nan
74.95331880577403,2.0,2.0,2.0,nan,nan,nan
76.36753236814714,2.0,2.0,2.0,nan,nan,nan
77.78174593052023,2.0,2.0,2.0,nan,nan,nan
79.19595949289332,nan,2.0,2.0,nan,nan,nan
80.61017305526642,nan,2.0,nan,2.0,2.0,nan
82.02438661763951,nan,2.0,nan,2.0,2.0,nan
83.43860018001261,nan,nan,nan,2.0,2.0,nan
84.8528137423857,nan,nan,nan,nan,2.0,nan
86.2670273047588,nan,nan,nan,nan,2.0,nan
93.33809511662427,2.0,nan,nan,nan,nan,nan
94.75230867899737,2.0,nan,nan,nan,nan,nan
96.16652224137046,2.0,nan,nan,nan,nan,nan
97.58073580374356,2.0,nan,nan,nan,nan,nan
98.99494936611666,2.0,nan,nan,nan,nan,nan
100.40916292848975,2.0,nan,nan,nan,nan,nan
101.82337649086284,2.0,nan,nan,nan,2.0,nan
103.23759005323593,nan,nan,nan,nan,2.0,nan
104.65180361560904,nan,nan,nan,nan,2.0,nan
106.06601717798213,nan,nan,nan,nan,2.0,nan
